iter	Passed	Remaining
0	65	64966
1	65	32672
2	66	21937
3	66	16513
4	66	13268
5	67	11130
6	68	9702
7	68	8516
8	69	7608
9	69	6898
10	70	6302
11	70	5798
12	70	5372
13	71	5001
14	71	4680
15	71	4413
16	72	4187
17	72	3981
18	73	3783
19	73	3610
20	74	3461
21	74	3322
22	75	3202
23	76	3092
24	76	2991
25	77	2896
26	77	2796
27	77	2705
28	78	2617
29	78	2537
30	78	2460
31	79	2391
32	79	2323
33	79	2261
34	79	2201
35	80	2144
36	80	2092
37	80	2042
38	80	1995
39	81	1951
40	81	1910
41	82	1872
42	82	1839
43	83	1807
44	83	1775
45	84	1746
46	84	1713
47	84	1681
48	85	1655
49	85	1629
50	86	1601
51	86	1573
52	86	1549
53	87	1526
54	87	1502
55	87	1478
56	87	1455
57	88	1432
58	88	1411
59	88	1390
60	89	1370
61	89	1351
62	89	1333
63	89	1315
64	90	1297
65	90	1281
66	90	1264
67	90	1246
68	91	1229
69	91	1214
70	91	1198
71	91	1184
72	92	1170
73	92	1159
74	93	1150
75	93	1139
76	94	1127
77	94	1117
78	94	1105
79	95	1094
80	95	1086
81	96	1075
82	96	1064
83	96	1053
84	96	1040
85	97	1031
86	97	1020
87	97	1010
88	97	1000
89	97	990
90	98	984
91	99	977
92	99	969
93	100	965
94	100	958
95	100	950
96	101	942
97	101	934
98	101	927
99	102	919
100	102	912
101	102	905
102	103	899
103	103	892
104	103	885
105	104	879
106	104	872
107	104	865
108	105	858
109	105	851
110	105	845
111	105	838
112	106	832
113	106	826
114	106	819
115	106	813
116	107	807
117	107	802
118	107	796
119	107	791
120	108	785
121	108	779
122	108	773
123	108	768
124	109	763
125	109	758
126	109	753
127	109	747
128	109	742
129	110	737
130	110	732
131	110	727
132	110	723
133	111	718
134	111	714
135	111	709
136	112	705
137	112	700
138	112	696
139	112	692
140	113	688
141	113	684
142	113	680
143	113	676
144	114	672
145	114	668
146	114	664
147	114	661
148	115	657
149	115	654
150	115	651
151	116	647
152	116	644
153	116	641
154	117	640
155	117	637
156	118	635
157	118	632
158	119	631
159	119	629
160	120	627
161	120	624
162	121	622
163	121	620
164	122	619
165	122	616
166	123	613
167	123	610
168	123	607
169	124	605
170	124	603
171	124	600
172	124	597
173	125	594
174	125	593
175	126	590
176	126	587
177	126	585
178	127	584
179	127	582
180	127	578
181	128	576
182	128	574
183	128	571
184	129	569
185	129	566
186	129	564
187	130	561
188	130	559
189	130	557
190	131	555
191	131	552
192	131	550
193	131	547
194	132	545
195	132	543
196	132	541
197	133	539
198	133	537
199	133	534
200	134	532
201	134	530
202	134	528
203	134	526
204	135	524
205	135	522
206	136	521
207	136	520
208	136	517
209	137	515
210	137	513
211	137	511
212	137	509
213	138	507
214	138	505
215	138	503
216	139	502
217	139	501
218	140	500
219	140	498
220	140	496
221	141	494
222	141	492
223	141	491
224	142	489
225	142	487
226	142	485
227	142	483
228	143	481
229	143	479
230	143	477
231	143	475
232	144	474
233	144	472
234	144	470
235	144	469
236	145	467
237	145	465
238	145	463
239	145	462
240	146	460
241	146	458
242	146	456
243	146	455
244	147	453
245	147	452
246	147	450
247	148	449
248	148	447
249	148	446
250	148	444
251	149	443
252	149	441
253	150	441
254	150	440
255	151	439
256	151	438
257	151	436
258	152	435
259	152	434
260	152	433
261	153	431
262	153	430
263	153	428
264	154	427
265	154	426
266	154	425
267	155	423
268	155	422
269	155	421
270	156	420
271	156	418
272	156	417
273	157	416
274	157	414
275	158	414
276	158	413
277	158	411
278	158	410
279	159	409
280	159	408
281	159	406
282	160	405
283	160	404
284	160	403
